Country Code,Country Name,gb_MAE,rf_MAE
SLV,El Salvador,0.9455928256154439,1.117477803094219
NIC,Nicaragua,0.9536288614732791,0.9717543050879195
HND,Honduras,0.9706051108265924,0.840474580371108
CRI,Costa Rica,0.9772254184537886,1.1539680455418635
ATG,Antigua and Barbuda,0.992212063046851,0.9871394254963541
OMN,Oman,0.9978817416671805,1.1021506393462925
COG,"Congo, Rep.",1.0108013066775072,3.225068515350756
CYM,Cayman Islands,1.0142714010055092,0.9893554437632139
ALB,Albania,1.0149267472361339,1.229119382931517
TKM,Turkmenistan,1.0171350199091707,0.34820447850057473
ARE,United Arab Emirates,1.029430038267317,1.1152451319280936
CHI,Channel Islands,1.0335645338120771,1.526266918396131
TCD,Chad,1.038541656796166,0.7468176289293752
AFG,Afghanistan,1.0404590420161133,0.9590644279263807
ECU,Ecuador,1.041487244002372,1.126807376935354
IND,India,1.04460994908488,0.7187455277293461
JPN,Japan,1.0566305832980218,0.5690634265848976
TCA,Turks and Caicos Islands,1.0613828927987567,1.0894263555143406
WSM,Samoa,1.0745399418806518,1.1744749628422517
GUM,Guam,1.080959637350433,1.2554578277665802
TUN,Tunisia,1.0838003929873936,0.8620895585771634
XKX,Kosovo,1.0868593272412939,1.0467211248824362
GRD,Grenada,1.1023191566121606,1.6078168800122337
BHS,"Bahamas, The",1.1147281825438644,0.8789721927676154
KEN,Kenya,1.1214423991428357,1.6296840692430048
RUS,Russian Federation,1.131505079215096,1.6596072972784828
PRY,Paraguay,1.158981920421565,0.8544942904658654
PLW,Palau,1.167062758343469,0.4338916903616216
BGD,Bangladesh,1.172401000938155,1.3912990427905465
MLI,Mali,1.1739139090178292,0.5660258622650743
ARM,Armenia,1.177712155566939,1.0526815634412783
BOL,Bolivia,1.1880055935937195,1.0636771527668942
BIH,Bosnia and Herzegovina,1.2071438991415004,1.5838872543096683
MEX,Mexico,1.223003702503569,1.572640734389205
LBN,Lebanon,1.2380574101973083,1.3243887657322573
BEN,Benin,1.2384719052429625,0.570754028363842
DZA,Algeria,1.2444447113831278,0.7207904819252098
ASM,American Samoa,1.2511524570187225,1.4580193507358366
MKD,North Macedonia,1.25417932154014,1.5147985502548447
GIN,Guinea,1.2646684935865595,0.5737035361624643
MYS,Malaysia,1.2665856359317702,1.3975103517326148
AZE,Azerbaijan,1.2722747249856998,1.2804365853101776
GEO,Georgia,1.27442623345856,1.1056785496382406
VGB,British Virgin Islands,1.3025188120657658,1.2302852202235455
MAR,Morocco,1.3627386055084902,1.7588256735871408
KIR,Kiribati,1.391305567478109,1.066011326936935
CPV,Cabo Verde,1.3943764438766761,0.6904124248599387
PSE,West Bank and Gaza,1.418692076406562,1.374005326287205
UKR,Ukraine,1.427362696710796,1.4143300269571915
JAM,Jamaica,1.5081688866481522,1.6668737266891305
AND,Andorra,1.5114046633053233,0.9651570630760073
NER,Niger,1.5186802229500316,0.9223592298192691
KNA,St. Kitts and Nevis,1.5453359906965891,1.129291372298715
BRN,Brunei Darussalam,1.5703571461675807,1.8554626179231706
SMR,San Marino,1.5781304984737579,1.0259781580203322
LCA,St. Lucia,1.59700923785774,1.3458846880231794
VEN,"Venezuela, RB",1.6244130184925762,1.7118726813700107
DMA,Dominica,1.649047647567552,1.4839494867797947
FJI,Fiji,1.6511009184991734,1.9393696454298732
PRK,"Korea, Dem. People's Rep.",1.689201042053587,7.999127237163756
HKG,"Hong Kong SAR, China",1.6908262542580177,1.1473582381854373
LBY,Libya,1.7215612962375542,1.6257957805086873
BFA,Burkina Faso,1.73242572755125,1.4441411483026283
BLR,Belarus,1.762367490490522,1.926070975171025
USA,United States,1.8063459296018662,2.138593978573048
