IncomeGroup,naive_MAE,linear_MAE,gb_MAE,rf_MAE
High income,1.132217158252978,0.9502344516723996,0.7639873095655789,0.7903094768564037
Low income,3.5105876923076917,3.3273645687646995,2.660537044157958,3.2846804089592876
Lower middle income,2.839809748113848,2.0061218936400516,1.6377130999108886,1.7373801942886766
Upper middle income,1.4003386332559535,1.1058991349563023,1.1216518705324712,1.127702180992677
